epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,8722.56,0.57418,0.61996,0.99094,0.91015,0.89408,0.94763,0.82846,0.58877,0.76817,1.04109,9.13281e-05,9.13281e-05,9.13281e-05
71,8810.42,0.45052,0.62762,0.95785,0.91261,0.89542,0.95003,0.83156,0.57482,0.82511,1.04169,8.35938e-05,8.35938e-05,8.35938e-05
72,8898.49,0.4537,0.62362,0.96058,0.92121,0.91766,0.94771,0.83702,0.58309,0.84991,1.07134,7.58594e-05,7.58594e-05,7.58594e-05
73,8986.02,0.43267,0.57485,0.93251,0.92454,0.93105,0.9412,0.82914,0.55893,0.83735,1.05119,6.8125e-05,6.8125e-05,6.8125e-05
74,9073.66,0.4349,0.57906,0.95337,0.92851,0.89756,0.94695,0.84708,0.5521,0.81522,1.04794,6.03906e-05,6.03906e-05,6.03906e-05
75,9161.48,0.43313,0.56532,0.93417,0.93591,0.8919,0.9479,0.8429,0.55849,0.80197,1.05932,5.26562e-05,5.26562e-05,5.26562e-05
76,9250.32,0.42653,0.54006,0.93974,0.91836,0.91567,0.94826,0.84433,0.56497,0.8063,1.05542,4.49219e-05,4.49219e-05,4.49219e-05
77,9338.14,0.40649,0.5313,0.92735,0.9078,0.92475,0.95007,0.84087,0.55608,0.79633,1.04065,3.71875e-05,3.71875e-05,3.71875e-05
78,9426.72,0.40264,0.53909,0.93827,0.90758,0.91511,0.94774,0.83891,0.56255,0.79767,1.04043,2.94531e-05,2.94531e-05,2.94531e-05
79,9515.19,0.40784,0.5452,0.94732,0.89897,0.91082,0.94822,0.84275,0.57258,0.80671,1.04646,2.17188e-05,2.17188e-05,2.17188e-05
80,9603.92,0.41148,0.54223,0.93628,0.89157,0.91793,0.94557,0.84272,0.56948,0.80144,1.04788,1.39844e-05,1.39844e-05,1.39844e-05
