epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.116,1.47533,3.90297,1.56951,0.0069,0.60049,0.03111,0.01717,1.16248,4.05969,1.2526,0.000202381,0.000202381,0.000202381
2,198.006,1.12654,3.62872,1.31049,0.01254,0.78248,0.1125,0.06941,0.8733,3.8929,1.18557,0.000405632,0.000405632,0.000405632
3,296.391,1.03711,3.34934,1.2456,0.02768,0.952,0.25712,0.19421,0.83279,3.27797,1.17608,0.000603726,0.000603726,0.000603726
4,385.224,1.0522,3.05235,1.25667,0.39324,0.35513,0.40984,0.31646,0.85693,2.46236,1.1923,0.000601797,0.000601797,0.000601797
5,593.684,1.03918,2.76354,1.25605,0.41652,0.56389,0.42837,0.35419,0.81618,2.36338,1.25175,0.000594062,0.000594062,0.000594062
6,700.726,1.05491,2.45397,1.28677,0.29957,0.70207,0.4705,0.36008,0.80782,2.23105,1.16609,0.000586328,0.000586328,0.000586328
7,836.06,1.05356,2.25535,1.27445,0.44872,0.68816,0.60326,0.49551,0.79374,2.03194,1.16651,0.000578594,0.000578594,0.000578594
8,960.006,1.02431,2.04544,1.2479,0.29722,0.66784,0.53179,0.43087,0.84322,2.2422,1.14038,0.000570859,0.000570859,0.000570859
9,1093.46,0.98447,1.88646,1.23284,0.45323,0.79672,0.69044,0.57205,0.78204,1.93762,1.14952,0.000563125,0.000563125,0.000563125
10,1237.19,0.98702,1.82808,1.21295,0.52082,0.75823,0.76425,0.63386,0.73217,1.64982,1.11411,0.000555391,0.000555391,0.000555391
11,1328.54,0.96144,1.62915,1.18584,0.62657,0.79784,0.81057,0.69398,0.68746,1.51272,1.10282,0.000547656,0.000547656,0.000547656
12,1426.79,0.98087,1.57625,1.19731,0.67086,0.8447,0.85649,0.70325,0.79315,1.46421,1.26808,0.000539922,0.000539922,0.000539922
13,1518.34,0.91973,1.49457,1.1739,0.74353,0.81327,0.87562,0.74795,0.72183,1.32363,1.10197,0.000532187,0.000532187,0.000532187
14,1770.57,0.90077,1.41288,1.16206,0.62778,0.81683,0.86616,0.72519,0.69003,1.38309,1.09586,0.000524453,0.000524453,0.000524453
15,1896.92,0.89754,1.26899,1.15144,0.73263,0.82722,0.85824,0.73749,0.69794,1.26181,1.08657,0.000516719,0.000516719,0.000516719
16,2057.51,0.86703,1.26431,1.14037,0.74186,0.77786,0.86755,0.71555,0.77063,1.36201,1.13897,0.000508984,0.000508984,0.000508984
17,2206.08,0.88339,1.25788,1.14262,0.80475,0.89733,0.90179,0.75625,0.71359,1.14183,1.0976,0.00050125,0.00050125,0.00050125
18,2356.19,0.83958,1.15951,1.10538,0.6556,0.86711,0.87282,0.73336,0.71877,1.40157,1.17584,0.000493516,0.000493516,0.000493516
19,2491.23,0.85018,1.12904,1.10969,0.7693,0.85318,0.91605,0.7814,0.69709,1.06921,1.07606,0.000485781,0.000485781,0.000485781
20,2633.75,0.81888,1.07795,1.10379,0.86011,0.89248,0.93192,0.80011,0.65055,1.01974,1.07752,0.000478047,0.000478047,0.000478047
21,2783.58,0.81414,1.0408,1.09715,0.77154,0.88445,0.90056,0.77329,0.67583,1.17041,1.12638,0.000470312,0.000470312,0.000470312
22,2893.31,0.83585,1.04603,1.11521,0.83708,0.84765,0.91772,0.77947,0.68332,1.09287,1.11947,0.000462578,0.000462578,0.000462578
23,2988.81,0.83977,0.9969,1.09923,0.88105,0.91282,0.94225,0.80496,0.68659,0.97475,1.11869,0.000454844,0.000454844,0.000454844
24,3111.25,0.83031,0.98125,1.09701,0.73405,0.87094,0.90909,0.77303,0.72756,1.10732,1.11682,0.000447109,0.000447109,0.000447109
25,3205.79,0.77189,0.97668,1.07931,0.84366,0.92219,0.94631,0.81419,0.64906,0.928,1.065,0.000439375,0.000439375,0.000439375
26,3306.97,0.77996,0.97382,1.07595,0.92396,0.88212,0.93164,0.75544,0.79551,0.98709,1.19748,0.000431641,0.000431641,0.000431641
27,3406.85,0.78961,0.95321,1.07947,0.8719,0.89531,0.94162,0.81431,0.66864,0.98907,1.14786,0.000423906,0.000423906,0.000423906
28,3506.83,0.75944,0.8913,1.07475,0.89445,0.91354,0.95475,0.8008,0.7148,0.92616,1.18796,0.000416172,0.000416172,0.000416172
29,3605.69,0.79075,0.91496,1.08095,0.75472,0.93267,0.93011,0.80697,0.65648,0.9445,1.06024,0.000408438,0.000408438,0.000408438
30,3717.06,0.76579,0.89863,1.07242,0.85292,0.902,0.93687,0.82011,0.66192,0.95386,1.12229,0.000400703,0.000400703,0.000400703
31,3803.53,0.7344,0.89069,1.04875,0.89249,0.91126,0.93358,0.81303,0.64831,0.98011,1.09303,0.000392969,0.000392969,0.000392969
32,3888.64,0.755,0.87105,1.0736,0.8921,0.9201,0.94135,0.81901,0.66103,0.93934,1.11555,0.000385234,0.000385234,0.000385234
33,3991.83,0.7545,0.86198,1.06856,0.86555,0.89782,0.92697,0.80378,0.69868,1.0396,1.15828,0.0003775,0.0003775,0.0003775
34,4109.36,0.73767,0.85701,1.05445,0.91533,0.88619,0.94524,0.82482,0.64373,1.01343,1.09121,0.000369766,0.000369766,0.000369766
35,4222.8,0.70976,0.80991,1.05288,0.88276,0.89126,0.94169,0.81672,0.68762,0.95635,1.11639,0.000362031,0.000362031,0.000362031
36,4348.21,0.72735,0.81433,1.05183,0.84867,0.9099,0.93103,0.80825,0.66499,0.99832,1.07789,0.000354297,0.000354297,0.000354297
37,4448.27,0.72329,0.83526,1.04851,0.89458,0.89196,0.94244,0.82134,0.63371,0.89997,1.07568,0.000346563,0.000346563,0.000346563
38,4543.77,0.71196,0.77206,1.04386,0.87147,0.8731,0.94075,0.8328,0.63043,0.90233,1.09901,0.000338828,0.000338828,0.000338828
39,4641.15,0.77589,0.8329,1.07044,0.92705,0.86237,0.94398,0.81154,0.65658,0.893,1.13769,0.000331094,0.000331094,0.000331094
40,4728.98,0.71896,0.82069,1.0565,0.90313,0.86983,0.94401,0.82947,0.60619,0.85685,1.08716,0.000323359,0.000323359,0.000323359
41,4817.25,0.72111,0.77697,1.03456,0.89741,0.87297,0.93065,0.82555,0.6176,0.9255,1.09342,0.000315625,0.000315625,0.000315625
42,4906.87,0.67593,0.77127,1.03434,0.87345,0.8881,0.94425,0.82088,0.65312,0.88341,1.07369,0.000307891,0.000307891,0.000307891
43,4995.15,0.7015,0.75879,1.03836,0.9001,0.85917,0.95032,0.84123,0.599,0.87187,1.04393,0.000300156,0.000300156,0.000300156
44,5083.06,0.67822,0.76136,1.04249,0.88303,0.89073,0.94853,0.83433,0.60632,0.85598,1.0688,0.000292422,0.000292422,0.000292422
45,5172.81,0.66562,0.73231,1.02027,0.86318,0.90454,0.93433,0.80995,0.62064,0.865,1.08612,0.000284688,0.000284688,0.000284688
46,5261.25,0.6555,0.73218,1.01987,0.8681,0.91614,0.93057,0.80065,0.63586,0.866,1.07844,0.000276953,0.000276953,0.000276953
47,5350,0.71733,0.76662,1.06241,0.90528,0.87695,0.91215,0.80404,0.59954,0.85251,1.07207,0.000269219,0.000269219,0.000269219
48,5438.61,0.63656,0.70412,1.00077,0.85999,0.90051,0.92759,0.79291,0.65859,0.90194,1.11032,0.000261484,0.000261484,0.000261484
49,6601.28,0.62189,0.69124,1.01413,0.87872,0.89575,0.93567,0.81272,0.67084,0.87889,1.0868,0.00025375,0.00025375,0.00025375
50,6679.42,0.70191,0.72546,1.03541,0.86459,0.89818,0.93349,0.82561,0.60657,0.85656,1.06783,0.000246016,0.000246016,0.000246016
51,6760.85,0.65722,0.73011,1.01426,0.9201,0.87627,0.92368,0.81173,0.60286,0.81425,1.07411,0.000238281,0.000238281,0.000238281
52,6847.3,0.66934,0.69467,1.02559,0.90515,0.87058,0.92463,0.82068,0.60038,0.86716,1.05402,0.000230547,0.000230547,0.000230547
53,6979.81,0.64874,0.7165,1.01683,0.83301,0.92791,0.92594,0.81656,0.60377,0.87016,1.06021,0.000222813,0.000222813,0.000222813
54,7090.55,0.65339,0.69244,1.03292,0.88152,0.91931,0.94624,0.82885,0.59811,0.86254,1.05951,0.000215078,0.000215078,0.000215078
55,7181.64,0.66457,0.6797,1.02291,0.93618,0.88454,0.95067,0.82608,0.61247,0.80115,1.06275,0.000207344,0.000207344,0.000207344
56,7282.8,0.6353,0.67671,1.01489,0.90076,0.92622,0.94902,0.83593,0.57744,0.76061,1.04991,0.000199609,0.000199609,0.000199609
57,7376.26,0.60005,0.66389,0.99424,0.94028,0.91384,0.94539,0.83346,0.59758,0.76832,1.07172,0.000191875,0.000191875,0.000191875
58,7460.58,0.60661,0.65766,0.99455,0.93406,0.8958,0.95082,0.84473,0.59055,0.82727,1.06795,0.000184141,0.000184141,0.000184141
59,7545.76,0.61056,0.65741,1.00984,0.90307,0.91763,0.95067,0.83904,0.57858,0.77372,1.06906,0.000176406,0.000176406,0.000176406
60,7733.62,0.5943,0.65175,0.99434,0.88072,0.90146,0.94897,0.84014,0.5709,0.77231,1.06101,0.000168672,0.000168672,0.000168672
61,7811.79,0.60769,0.66303,1.00566,0.91235,0.89797,0.94599,0.83846,0.59913,0.78223,1.06727,0.000160938,0.000160938,0.000160938
62,7897.7,0.59993,0.65417,0.99193,0.91569,0.89476,0.94575,0.84188,0.57364,0.76026,1.04491,0.000153203,0.000153203,0.000153203
63,7982.6,0.60428,0.67223,1.00292,0.89074,0.88364,0.92936,0.82162,0.56996,0.78522,1.04159,0.000145469,0.000145469,0.000145469
64,8083.08,0.57586,0.63061,0.98928,0.89646,0.8952,0.94838,0.83574,0.60835,0.80508,1.06281,0.000137734,0.000137734,0.000137734
65,8229.73,0.58124,0.61455,0.99684,0.91258,0.88972,0.95015,0.84077,0.59194,0.79887,1.06695,0.00013,0.00013,0.00013
66,8365.89,0.57103,0.62479,0.98384,0.85364,0.88896,0.94242,0.82209,0.59869,0.77621,1.05776,0.000122266,0.000122266,0.000122266
67,8454.76,0.57178,0.61868,0.98748,0.83575,0.88896,0.93773,0.82757,0.58549,0.78673,1.04693,0.000114531,0.000114531,0.000114531
68,8544.35,0.57488,0.62363,0.98979,0.89867,0.88458,0.93518,0.82289,0.57787,0.77225,1.0452,0.000106797,0.000106797,0.000106797
69,8633.5,0.58934,0.61798,0.98382,0.91236,0.89348,0.9491,0.83686,0.57945,0.77154,1.03718,9.90625e-05,9.90625e-05,9.90625e-05
